epoch,step,train_auc,train_loss_epoch,train_loss_step
0,35,0.5098869800567627,0.7010529041290283,
1,49,,,0.700696587562561
1,71,0.5089675188064575,0.7010096907615662,
2,99,,,0.7013125419616699
2,107,0.4973747432231903,0.7010344862937927,
3,143,0.5061012506484985,0.7011529207229614,
4,149,,,0.7018091678619385
4,179,0.4913782775402069,0.7009176015853882,
