epoch,step,train_loss_epoch,train_loss_step,val_auc,val_loss
0,43,,,0.49480199813842773,0.033764854073524475
0,43,0.1254371553659439,,,
1,49,,0.032919347286224365,,
1,87,,,0.5101982355117798,0.030854353681206703
1,87,0.03133132681250572,,,
2,99,,0.03211970627307892,,
2,131,,,0.5143832564353943,0.03067861497402191
2,131,0.03106067143380642,,,
3,149,,0.029452932998538017,,
3,175,,,0.5506079792976379,0.030569037422537804
3,175,0.030556736513972282,,,
4,199,,0.029564103111624718,,
4,219,,,0.5791985392570496,0.03035825863480568
4,219,0.030901294201612473,,,
