epoch,step,train_auc,train_loss_epoch,train_loss_step
0,35,0.4931564927101135,0.1505747139453888,
1,49,,,0.03202831745147705
1,71,0.4969610869884491,0.03195170685648918,
2,99,,,0.0311953816562891
2,107,0.5205373764038086,0.031253669410943985,
3,143,0.526443362236023,0.030651701614260674,
4,149,,,0.03341677412390709
4,179,0.5204734206199646,0.030976563692092896,
