epoch,step,train_loss_epoch,train_loss_step,val_auc,val_loss
0,43,,,0.49272584915161133,0.03407454490661621
0,43,0.12966503202915192,,,
1,49,,0.032688383013010025,,
1,87,,,0.5048270225524902,0.03082045167684555
1,87,0.031579311937093735,,,
2,99,,0.030590340495109558,,
2,131,,,0.5133748650550842,0.03068298101425171
2,131,0.031146125867962837,,,
3,149,,0.030985452234745026,,
3,175,,,0.5321776270866394,0.03062843717634678
3,175,0.03059646487236023,,,
4,199,,0.030700761824846268,,
4,219,,,0.5370785593986511,0.030401233583688736
4,219,0.03090681880712509,,,
