epoch,step,train_loss_epoch,train_loss_step,val_loss
0,43,,,0.035319797694683075
0,43,0.1277073174715042,,
1,49,,0.03192203864455223,
1,87,,,0.030943023040890694
1,87,0.03138240426778793,,
2,99,,0.031238490715622902,
2,131,,,0.030771801248192787
2,131,0.030809246003627777,,
3,149,,0.03147396072745323,
3,175,,,0.03069646842777729
3,175,0.03067697212100029,,
4,199,,0.030153149738907814,
4,219,,,0.030649323016405106
4,219,0.030639363452792168,,
