epoch,lr,step,train_auc,train_loss_epoch,train_loss_step
0,0.00452263792976737,35,0.5087946057319641,0.07706949859857559,
1,,49,,,0.031021511182188988
1,0.0032728880178183317,71,0.48632073402404785,0.030971093103289604,
2,,99,,,0.031062614172697067
2,0.0017281119944527745,107,0.5021207332611084,0.031005948781967163,
3,0.0004783620242960751,143,0.5132979154586792,0.030533386394381523,
4,,149,,,0.03334127739071846
