epoch,lr,step,train_auc,train_loss_epoch,train_loss_step,val_auc,val_loss
0,,29,,,,0.5129825472831726,0.03513079136610031
0,0.00045234974822960794,29,0.4862716495990753,0.17775483429431915,,,
1,,49,,,0.03114735521376133,,
1,,59,,,,0.5314056277275085,0.031286146491765976
1,0.00032759972964413464,59,0.505193293094635,0.032363083213567734,,,
2,,89,,,,0.5271434783935547,0.030943378806114197
2,0.0001734002580633387,89,0.4972275495529175,0.0312555730342865,,,
3,,99,,,0.030714115127921104,,
