epoch,lr,step,train_auc,train_loss_epoch,train_loss_step,val_auc,val_loss
0,,35,,,,0.5,nan
0,0.45225435495376587,35,0.5,nan,,,
1,,49,,,nan,,
1,,71,,,,0.5,nan
1,0.32725459337234497,71,0.5,nan,,,
2,,99,,,nan,,
2,,107,,,,0.5,nan
2,0.17274640500545502,107,0.5,nan,,,
3,,143,,,,0.5,nan
3,0.047746654599905014,143,0.5,nan,,,
4,,149,,,nan,,
4,,179,,,,0.5,nan
4,9.999999974752427e-07,179,0.5,nan,,,
