epoch,step,train_auc,train_loss_epoch,train_loss_step
0,35,0.5087411403656006,0.07768957316875458,
1,49,,,0.031061023473739624
1,71,0.4979901909828186,0.03099380061030388,
2,99,,,0.031115224584937096
2,107,0.4964532256126404,0.03102860413491726,
3,143,0.5163334012031555,0.030582968145608902,
4,149,,,0.03350450098514557
4,179,0.5186424255371094,0.030916377902030945,
