epoch,lr,step,train_auc,train_loss_epoch,train_loss_step
0,0.00452263792976737,35,0.5105200409889221,0.0789056196808815,
1,,49,,,0.031111154705286026
1,0.0032728880178183317,71,0.4869208037853241,0.030976101756095886,
2,,99,,,0.03102795220911503
2,0.0017281119944527745,107,0.515903115272522,0.03100305050611496,
3,0.0004783620242960751,143,0.5164159536361694,0.03054087981581688,
4,,149,,,0.03334340825676918
4,9.999999974752427e-07,179,0.5157283544540405,0.030909894034266472,
