epoch,step,train_loss,val_loss
0,35,,0.04170206934213638
1,49,0.031011005863547325,
1,71,,0.03101765178143978
2,99,0.02981848269701004,
2,107,,0.030709918588399887
3,143,,0.030609266832470894
4,149,0.029215317219495773,
4,179,,0.030553463846445084
