epoch,step,train_loss,val_auc,val_loss
0,35,,0.47382044792175293,0.04170206934213638
1,49,0.031011005863547325,,
1,71,,0.4748581051826477,0.03101765178143978
2,99,0.02981848269701004,,
2,107,,0.4859561324119568,0.030709918588399887
3,143,,0.5057241320610046,0.030609266832470894
4,149,0.029215317219495773,,
4,179,,0.509323000907898,0.030553463846445084
5,199,0.03091343306005001,,
5,215,,0.5248842835426331,0.030407821759581566
6,249,0.030322352424263954,,
6,251,,0.5471633076667786,0.030206413939595222
7,287,,0.6045177578926086,0.029612882062792778
8,299,0.029591884464025497,,
8,323,,0.6605467796325684,0.02847265638411045
9,349,0.028241820633411407,,
9,359,,0.7236797213554382,0.027017509564757347
10,395,,0.7655121088027954,0.02557091787457466
11,399,0.02501882240176201,,
11,431,,0.7923333644866943,0.023617293685674667
12,449,0.022037386894226074,,
12,467,,0.8065305352210999,0.022457433864474297
13,499,0.021586772054433823,,
13,503,,0.8199068903923035,0.021477706730365753
14,539,,0.8344079852104187,0.020110834389925003
15,549,0.01734801009297371,,
15,575,,0.8358401656150818,0.019379952922463417
16,599,0.017797449603676796,,
16,611,,0.8468788266181946,0.018411491066217422
17,647,,0.8510428071022034,0.01774934120476246
18,649,0.015813929960131645,,
18,683,,0.8592641353607178,0.017022496089339256
19,699,0.015292854979634285,,
19,719,,0.8617160320281982,0.01706463284790516
20,749,0.013770404271781445,,
20,755,,0.8635722398757935,0.01691802777349949
21,791,,0.8655614256858826,0.01607712358236313
22,799,0.01109132170677185,,
22,827,,0.8674905300140381,0.01601153239607811
23,849,0.011246739886701107,,
23,863,,0.8666396737098694,0.016407374292612076
24,899,0.011315672658383846,,
24,899,,0.8675441741943359,0.015999142080545425
25,935,,0.8702273964881897,0.016015851870179176
26,949,0.010211111977696419,,
26,971,,0.8722325563430786,0.015676483511924744
27,999,0.00799583364278078,,
27,1007,,0.8720986247062683,0.015672164037823677
28,1043,,0.8687105774879456,0.015917176380753517
29,1049,0.007936060428619385,,
29,1079,,0.8743330836296082,0.015897760167717934
30,1099,0.007419360335916281,,
30,1115,,0.8701116442680359,0.016375912353396416
31,1149,0.006588771473616362,,
31,1151,,0.8722930550575256,0.016270361840724945
32,1187,,0.8691781759262085,0.016455616801977158
33,1199,0.005789162591099739,,
33,1223,,0.8704937100410461,0.01652025245130062
34,1249,0.005822720937430859,,
34,1259,,0.869702935218811,0.01730930246412754
35,1295,,0.8709851503372192,0.01677592471241951
36,1299,0.004495403729379177,,
36,1331,,0.8693726062774658,0.017024964094161987
37,1349,0.005633363034576178,,
37,1367,,0.8738397359848022,0.016722027212381363
38,1399,0.006193130277097225,,
38,1403,,0.8685327768325806,0.017375247552990913
39,1439,,0.8699575066566467,0.017305966466665268
40,1449,0.005494359880685806,,
40,1475,,0.8726198077201843,0.017972197383642197
41,1499,0.0034404287580400705,,
41,1511,,0.8662700057029724,0.01823602244257927
42,1547,,0.8713991045951843,0.017723770812153816
43,1549,0.0036063026636838913,,
43,1583,,0.867790699005127,0.01798655092716217
44,1599,0.00425835931673646,,
44,1619,,0.870354950428009,0.017783280462026596
45,1649,0.003420189954340458,,
45,1655,,0.8701120018959045,0.018159398809075356
46,1691,,0.8686959147453308,0.018391795456409454
47,1699,0.0034178353380411863,,
47,1727,,0.871171772480011,0.017806757241487503
48,1749,0.004043770954012871,,
48,1763,,0.8690308332443237,0.018273020163178444
49,1799,0.003084685653448105,,
49,1799,,0.8709897398948669,0.018030332401394844
